Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
161,Lorenz Assignon,tg TOG,"DF,MF",Rennes,fr Ligue 1,24.0,2000,21,17,1461,16.2,1,3,4,1,0,0,6,0,0.4,0.4,2.9,3.4,69,73,129,0.25,0.21,161,tg TOG,"DF,MF",fr Ligue 1,24-247,2000,16.2,1,9,2,22.2,0.55,0.12,0.11,0.50,20.8,0,0,0,0.4,0.4,0.05,+0.6,+0.6,161,tg TOG,"DF,MF",fr Ligue 1,24-247,2000,16.2,665,842,79.0,10390,3658,3,2.9,2.9,+0.1,20,42,20,11,73,161,tg TOG,"DF,MF",fr Ligue 1,24-247,2000,16.2,842,677,159,12,3,3,46,146,1,0,0,0,665,6,23,161,tg TOG,"DF,MF",fr Ligue 1,24-247,2000,16.2,46,2.83,34,6,2,2,1,1,8,0.49,161,tg TOG,"DF,MF",fr Ligue 1,24-247,2000,16.2,27,15,14,12,1,28,32.1,19,14,3,11,18,45,48,0,161,tg TOG,"DF,MF",fr Ligue 1,24-247,2000,16.2,1054,41,228,457,376,47,1054,53,17,32.1,35,66.0,517,3505,2081,69,51,19,38,22,651,129,208,tg TOG,"DF,MF",fr Ligue 1,24-247,2000,21,1461,70,70.6,16.2,17,81,9,4,23,0,1.19,21,20,+1,+0.06,+0.50,20.2,18.8,+1.4,+0.09,161,tg TOG,"DF,MF",fr Ligue 1,24-247,2000,16.2,6,0,0,33,19,4,46,18,15,0,1,0,64,20,13,60.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,fr Ligue 1,19.0,2005,9,0,81,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1.0,4,1,14,0.00,1.06,162,fr FRA,"MF,FW",fr Ligue 1,19-313,2005,0.9,0,3,2,66.7,3.33,2.22,0.00,0.00,26.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,162,fr FRA,"MF,FW",fr Ligue 1,19-313,2005,0.9,36,45,80.0,537,138,0,0.9,1.0,-0.9,4,1,2,2,1,162,fr FRA,"MF,FW",fr Ligue 1,19-313,2005,0.9,45,42,3,1,0,0,4,1,0,0,0,0,36,0,2,162,fr FRA,"MF,FW",fr Ligue 1,19-313,2005,0.9,6,6.67,5,1,0,0,0,0,0,0.00,162,fr FRA,"MF,FW",fr Ligue 1,19-313,2005,0.9,6,3,0,4,2,5,80.0,1,1,0,1,1,7,3,0,162,fr FRA,"MF,FW",fr Ligue 1,19-313,2005,0.9,67,2,11,34,23,6,67,4,3,75.0,1,25.0,41,264,142,4,2,1,6,3,40,14,209,fr FRA,"MF,FW",fr Ligue 1,19-313,2005,9,81,9,3.9,0.9,0,,0,9,9,7,0.78,1,2,-1,-1.11,-0.61,1.7,1.2,+0.5,+0.57,162,fr FRA,"MF,FW",fr Ligue 1,19-313,2005,0.9,0,0,0,1,3,0,4,1,3,0,0,0,8,2,3,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,19.0,2005,23,22,1868,20.8,0,0,0,0,0,0,6,0,0.8,0.8,0.4,1.2,28,69,22,0.00,0.06,163,fr FRA,MF,fr Ligue 1,19-183,2005,20.8,0,18,1,5.6,0.87,0.05,0.00,0.00,22.2,0,0,0,0.8,0.8,0.04,-0.8,-0.8,163,fr FRA,MF,fr Ligue 1,19-183,2005,20.8,641,736,87.1,9822,2575,0,0.4,0.4,-0.4,8,49,6,0,69,163,fr FRA,MF,fr Ligue 1,19-183,2005,20.8,736,726,7,7,2,0,15,0,0,0,0,0,641,3,12,163,fr FRA,MF,fr Ligue 1,19-183,2005,20.8,33,1.59,24,0,3,1,3,2,1,0.05,163,fr FRA,MF,fr Ligue 1,19-183,2005,20.8,46,35,22,19,5,26,73.1,7,22,11,11,28,74,35,0,163,fr FRA,MF,fr Ligue 1,19-183,2005,20.8,971,74,310,509,164,27,971,39,13,33.3,21,53.8,511,3394,1591,28,27,5,37,12,613,22,211,fr FRA,MF,fr Ligue 1,19-183,2005,23,1868,81,90.2,20.8,22,83,11,1,45,0,0.96,24,32,-8,-0.39,+0.06,23.8,34.0,-10.1,-0.49,163,fr FRA,MF,fr Ligue 1,19-183,2005,20.8,6,0,0,34,34,4,15,28,35,0,0,0,81,25,19,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Arthur Atta,fr FRA,"MF,FW",Udinese,it Serie A,22.0,2003,16,2,433,4.8,0,1,1,0,0,0,2,0,0.3,0.3,0.6,0.9,10,21,27,0.21,0.20,164,fr FRA,"MF,FW",it Serie A,22-041,2003,4.8,0,10,2,20.0,2.08,0.42,0.00,0.00,22.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3,164,fr FRA,"MF,FW",it Serie A,22-041,2003,4.8,181,231,78.4,2872,636,1,0.6,0.5,+0.4,8,18,2,1,21,164,fr FRA,"MF,FW",it Serie A,22-041,2003,4.8,231,226,3,2,0,3,9,1,0,0,0,0,181,2,6,164,fr FRA,"MF,FW",it Serie A,22-041,2003,4.8,20,4.15,19,0,0,1,0,0,1,0.21,164,fr FRA,"MF,FW",it Serie A,22-041,2003,4.8,11,5,4,6,1,11,72.7,3,4,3,1,1,12,5,1,164,fr FRA,"MF,FW",it Serie A,22-041,2003,4.8,292,5,34,162,103,15,292,20,12,60.0,8,40.0,188,1014,413,10,6,2,10,6,208,27,212,fr FRA,"MF,FW",it Serie A,22-041,2003,16,433,27,18.5,4.8,2,71,0,14,21,3,1.44,4,7,-3,-0.62,-0.58,3.3,8.6,-5.3,-1.10,164,fr FRA,"MF,FW",it Serie A,22-041,2003,4.8,2,0,0,6,6,0,9,1,5,0,0,0,19,9,8,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22.0,2002,20,20,1800,20.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,165,de GER,GK,de Bundesliga,22-275,2002,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,165,de GER,GK,de Bundesliga,22-275,2002,20.0,679,908,74.8,18962,13735,0,0.0,0.1,0.0,0,18,0,0,1,165,de GER,GK,de Bundesliga,22-275,2002,20.0,908,773,133,43,0,1,0,0,0,0,0,0,679,2,1,165,de GER,GK,de Bundesliga,22-275,2002,20.0,5,0.25,5,0,0,0,0,0,0,0.00,165,de GER,GK,de Bundesliga,22-275,2002,20.0,0,0,0,0,0,0,,0,0,0,0,0,0,11,3,165,de GER,GK,de Bundesliga,22-275,2002,20.0,957,734,951,7,0,0,957,0,0,,0,,545,2903,1462,0,0,0,0,0,558,0,213,de GER,GK,de Bundesliga,22-275,2002,20,1800,90,87.0,20.0,20,90,20,0,,1,1.80,31,29,+2,+0.10,+1.43,25.8,24.2,+1.6,+0.08,165,de GER,GK,de Bundesliga,22-275,2002,20.0,2,0,0,0,0,0,0,0,0,0,0,0,40,7,1,87.5,6,de GER,GK,de Bundesliga,22-275,2002,20,20,1800,20.0,29,1.45,94,63,69.1,11,3,6,8,40.0,2,0,2,0,6,de GER,GK,de Bundesliga,22-275,2002,20.0,29,0,1,3,0,29.2,0.30,+0.2,+0.01,121,319,37.9,816,93,31.5,32.7,303,25,8.3,24,1.20,12.8
166,Emil Audero,it ITA,GK,Como,it Serie A,28.0,1997,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,166,it ITA,GK,it Serie A,28-037,1997,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,166,it ITA,GK,it Serie A,28-037,1997,8.0,209,253,82.6,4830,3117,0,0.0,0.0,0.0,0,1,0,0,0,166,it ITA,GK,it Serie A,28-037,1997,8.0,253,217,36,15,0,0,0,0,0,0,0,0,209,0,0,166,it ITA,GK,it Serie A,28-037,1997,8.0,0,0.00,0,0,0,0,0,0,0,0.00,166,it ITA,GK,it Serie A,28-037,1997,8.0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,1,166,it ITA,GK,it Serie A,28-037,1997,8.0,269,219,268,1,0,0,269,0,0,,0,,177,821,476,0,0,0,0,0,162,0,214,it ITA,GK,it Serie A,28-037,1997,8,720,90,30.8,8.0,8,90,8,0,,15,1.00,11,18,-7,-0.87,-0.76,9.7,11.3,-1.6,-0.20,166,it ITA,GK,it Serie A,28-037,1997,8.0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,1,66.7,7,it ITA,GK,it Serie A,28-037,1997,8,8,720,8.0,18,2.25,34,16,58.8,2,2,4,0,0.0,4,4,0,0,7,it ITA,GK,it Serie A,28-037,1997,8.0,18,4,0,2,0,12.4,0.27,-5.6,-0.70,17,55,30.9,232,30,22.0,28.6,95,5,5.3,8,1.00,12.9
167,Tommaso Augello,it ITA,"DF,FW",Cagliari,it Serie A,30.0,1994,26,20,1757,19.5,0,3,3,0,0,0,2,0,0.2,0.2,3.2,3.4,46,75,86,0.15,0.17,167,it ITA,"DF,FW",it Serie A,30-178,1994,19.5,0,6,0,0.0,0.31,0.00,0.00,,21.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,167,it ITA,"DF,FW",it Serie A,30-178,1994,19.5,771,1084,71.1,13665,5683,3,3.2,3.4,-0.2,29,53,30,21,75,167,it ITA,"DF,FW",it Serie A,30-178,1994,19.5,1084,832,244,37,0,4,154,163,44,4,39,0,771,8,35,167,it ITA,"DF,FW",it Serie A,30-178,1994,19.5,53,2.71,34,15,3,1,0,0,4,0.20,167,it ITA,"DF,FW",it Serie A,30-178,1994,19.5,32,16,18,11,3,27,70.4,8,15,4,11,15,47,62,0,167,it ITA,"DF,FW",it Serie A,30-178,1994,19.5,1246,66,423,444,397,8,1246,33,20,60.6,12,36.4,587,3019,1604,46,24,2,18,14,677,86,215,it ITA,"DF,FW",it Serie A,30-178,1994,26,1757,68,75.1,19.5,20,82,13,6,20,0,0.96,18,31,-13,-0.67,-0.51,22.5,30.3,-7.8,-0.40,167,it ITA,"DF,FW",it Serie A,30-178,1994,19.5,2,0,0,8,6,2,154,15,16,0,0,0,87,26,17,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Carlos Augusto,br BRA,"DF,FW",Inter,it Serie A,26.0,1999,18,7,903,10.0,2,1,3,2,0,0,0,0,1.1,1.1,0.8,1.9,13,38,49,0.30,0.19,168,br BRA,"DF,FW",it Serie A,26-048,1999,10.0,2,10,3,30.0,1.00,0.30,0.20,0.67,11.4,0,0,0,1.1,1.1,0.11,+0.9,+0.9,168,br BRA,"DF,FW",it Serie A,26-048,1999,10.0,489,566,86.4,7904,1924,1,0.8,1.0,+0.2,4,30,5,3,38,168,br BRA,"DF,FW",it Serie A,26-048,1999,10.0,566,500,66,11,1,0,12,54,0,0,0,0,489,0,9,168,br BRA,"DF,FW",it Serie A,26-048,1999,10.0,10,1.00,7,1,0,0,1,1,1,0.10,168,br BRA,"DF,FW",it Serie A,26-048,1999,10.0,18,9,8,7,3,13,69.2,4,10,4,6,4,22,24,0,168,br BRA,"DF,FW",it Serie A,26-048,1999,10.0,668,39,202,329,140,16,668,5,1,20.0,4,80.0,361,1860,755,13,11,2,13,9,438,49,216,br BRA,"DF,FW",it Serie A,26-048,1999,18,903,50,38.6,10.0,7,88,6,11,26,3,2.06,23,9,+14,+1.40,+0.08,20.0,7.6,+12.4,+1.24,168,br BRA,"DF,FW",it Serie A,26-048,1999,10.0,0,0,0,7,4,3,12,4,9,0,0,0,33,39,19,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24.0,2000,15,10,934,10.4,1,1,2,1,0,0,3,0,1.5,1.5,0.5,2.0,22,56,27,0.19,0.19,169,de GER,DF,it Serie A,24-087,2000,10.4,1,11,1,9.1,1.06,0.10,0.09,1.00,11.1,0,0,0,1.5,1.5,0.13,-0.5,-0.5,169,de GER,DF,it Serie A,24-087,2000,10.4,697,756,92.2,11865,3094,1,0.5,0.9,+0.5,5,52,4,1,56,169,de GER,DF,it Serie A,24-087,2000,10.4,756,734,22,13,0,0,6,8,0,0,0,0,697,0,6,169,de GER,DF,it Serie A,24-087,2000,10.4,12,1.16,10,0,0,1,0,1,2,0.19,169,de GER,DF,it Serie A,24-087,2000,10.4,10,7,6,2,2,7,85.7,1,10,4,6,9,19,32,1,169,de GER,DF,it Serie A,24-087,2000,10.4,852,63,260,483,111,23,852,9,2,22.2,6,66.7,588,3242,1578,22,18,1,7,2,674,27,217,de GER,DF,it Serie A,24-087,2000,15,934,62,39.9,10.4,10,79,6,5,28,8,2.40,27,11,+16,+1.54,+0.33,20.3,8.1,+12.2,+1.18,169,de GER,DF,it Serie A,24-087,2000,10.4,3,0,0,7,5,1,6,9,7,0,1,0,37,24,9,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,26.0,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,170,eng ENG,GK,eng Premier League,26-047,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,170,eng ENG,GK,eng Premier League,26-047,1999,1.0,22,32,68.8,526,386,0,0.0,0.0,0.0,0,0,0,0,0,170,eng ENG,GK,eng Premier League,26-047,1999,1.0,32,24,8,2,0,0,0,0,0,0,0,0,22,0,0,170,eng ENG,GK,eng Premier League,26-047,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,170,eng ENG,GK,eng Premier League,26-047,1999,1.0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,170,eng ENG,GK,eng Premier League,26-047,1999,1.0,36,30,36,0,0,0,36,0,0,,0,,22,104,46,0,0,0,0,0,16,0,219,eng ENG,GK,eng Premier League,26-047,1999,1,90,90,3.8,1.0,1,90,1,0,,12,0.00,1,2,-1,-1.00,-1.64,0.9,2.5,-1.6,-1.57,170,eng ENG,GK,eng Premier League,26-047,1999,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0,8,eng ENG,GK,eng Premier League,26-047,1999,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,8,eng ENG,GK,eng Premier League,26-047,1999,1.0,2,0,0,0,0,2.2,0.55,+0.2,+0.20,3,11,27.3,26,5,38.5,32.3,15,5,33.3,2,2.00,12.4
171,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,31.0,1994,17,6,612,6.8,2,0,2,2,0,0,4,1,1.5,1.5,1.0,2.5,12,18,45,0.29,0.37,171,ar ARG,FW,es La Liga,31-018,1994,6.8,2,20,10,50.0,2.94,1.47,0.10,0.20,17.9,0,0,0,1.5,1.5,0.08,+0.5,+0.5,171,ar ARG,FW,es La Liga,31-018,1994,6.8,153,216,70.8,2594,595,0,1.0,1.0,-1.0,15,1,11,6,18,171,ar ARG,FW,es La Liga,31-018,1994,6.8,216,196,18,3,0,2,25,9,0,0,0,0,153,2,7,171,ar ARG,FW,es La Liga,31-018,1994,6.8,31,4.56,24,0,1,2,4,0,3,0.44,171,ar ARG,FW,es La Liga,31-018,1994,6.8,7,3,1,2,4,8,37.5,5,4,0,4,2,9,6,0,171,ar ARG,FW,es La Liga,31-018,1994,6.8,296,5,23,126,152,33,296,10,4,40.0,5,50.0,158,717,324,12,7,4,22,4,198,45,220,ar ARG,FW,es La Liga,31-018,1994,17,612,36,27.2,6.8,6,62,1,11,22,3,1.59,9,7,+2,+0.29,+0.40,11.3,9.2,+2.1,+0.31,171,ar ARG,FW,es La Liga,31-018,1994,6.8,4,1,0,11,18,5,25,2,3,0,0,0,27,6,8,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,27.0,1997,19,2,257,2.9,1,0,1,1,0,0,0,0,2.0,2.0,0.1,2.1,5,5,13,0.35,0.74,172,ng NGA,FW,eng Premier League,27-196,1997,2.9,1,9,4,44.4,3.15,1.40,0.11,0.25,12.6,0,0,0,2.0,2.0,0.22,-1.0,-1.0,172,ng NGA,FW,eng Premier League,27-196,1997,2.9,41,64,64.1,453,83,0,0.1,0.1,-0.1,2,2,2,0,5,172,ng NGA,FW,eng Premier League,27-196,1997,2.9,64,64,0,0,1,0,1,0,0,0,0,0,41,0,3,172,ng NGA,FW,eng Premier League,27-196,1997,2.9,8,2.79,5,0,1,1,1,0,1,0.35,172,ng NGA,FW,eng Premier League,27-196,1997,2.9,4,2,0,3,1,3,66.7,1,1,0,1,0,4,4,0,172,ng NGA,FW,eng Premier League,27-196,1997,2.9,116,3,11,51,55,20,116,5,2,40.0,3,60.0,61,280,137,5,4,2,16,10,75,13,221,ng NGA,FW,eng Premier League,27-196,1997,19,257,14,11.0,2.9,2,54,0,17,9,6,1.89,3,6,-3,-1.05,-1.66,4.1,4.2,-0.1,-0.03,172,ng NGA,FW,eng Premier League,27-196,1997,2.9,0,0,0,7,7,1,1,0,2,0,0,0,13,8,25,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,21.0,2003,22,15,1340,14.9,0,0,0,0,0,0,3,0,1.4,1.4,2.0,3.4,20,51,52,0.00,0.23,173,se SWE,MF,eng Premier League,21-141,2003,14.9,0,17,5,29.4,1.14,0.34,0.00,0.00,20.3,1,0,0,1.4,1.4,0.08,-1.4,-1.4,173,se SWE,MF,eng Premier League,21-141,2003,14.9,531,663,80.1,7939,2170,0,2.0,2.0,-2.0,24,31,13,2,51,173,se SWE,MF,eng Premier League,21-141,2003,14.9,663,596,66,22,8,1,51,1,27,21,4,0,531,1,9,173,se SWE,MF,eng Premier League,21-141,2003,14.9,46,3.09,25,10,3,3,3,2,4,0.27,173,se SWE,MF,eng Premier League,21-141,2003,14.9,42,21,11,24,7,38,47.4,20,17,5,12,15,57,17,0,173,se SWE,MF,eng Premier League,21-141,2003,14.9,845,40,195,426,237,34,845,36,15,41.7,13,36.1,431,2119,947,20,14,5,27,18,546,52,222,se SWE,MF,eng Premier League,21-141,2003,22,1340,61,57.3,14.9,15,78,5,7,25,2,1.64,19,15,+4,+0.27,+0.27,20.3,18.6,+1.6,+0.11,173,se SWE,MF,eng Premier League,21-141,2003,14.9,3,0,0,27,19,3,51,15,21,0,0,0,90,7,14,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Florian Ayé,fr FRA,FW,Auxerre,fr Ligue 1,28.0,1997,17,4,403,4.5,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,3,4,22,0.00,0.11,174,fr FRA,FW,fr Ligue 1,28-036,1997,4.5,0,5,1,20.0,1.12,0.22,0.00,0.00,14.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4,174,fr FRA,FW,fr Ligue 1,28-036,1997,4.5,77,103,74.8,992,122,0,0.1,0.1,-0.1,1,4,2,0,4,174,fr FRA,FW,fr Ligue 1,28-036,1997,4.5,103,98,5,0,0,1,2,0,0,0,0,0,77,0,3,174,fr FRA,FW,fr Ligue 1,28-036,1997,4.5,2,0.45,2,0,0,0,0,0,1,0.22,174,fr FRA,FW,fr Ligue 1,28-036,1997,4.5,2,2,0,0,2,1,0.0,1,5,0,5,4,6,6,0,174,fr FRA,FW,fr Ligue 1,28-036,1997,4.5,140,5,15,74,51,9,140,2,2,100.0,0,0.0,63,301,78,3,4,0,12,5,96,22,223,fr FRA,FW,fr Ligue 1,28-036,1997,17,403,24,19.5,4.5,4,65,0,13,11,6,0.88,6,6,0,0.00,+0.16,5.7,8.3,-2.6,-0.58,174,fr FRA,FW,fr Ligue 1,28-036,1997,4.5,0,0,0,7,5,2,2,4,2,0,0,0,12,11,25,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,35.0,1989,16,9,900,10.0,3,0,3,3,0,0,2,0,2.8,2.8,0.0,2.8,3,13,22,0.30,0.28,175,gh GHA,FW,fr Ligue 1,35-069,1989,10.0,3,13,5,38.5,1.30,0.50,0.23,0.60,11.7,2,0,0,2.8,2.8,0.22,+0.2,+0.2,175,gh GHA,FW,fr Ligue 1,35-069,1989,10.0,125,162,77.2,1513,166,0,0.0,0.1,0.0,1,3,1,0,13,175,gh GHA,FW,fr Ligue 1,35-069,1989,10.0,162,132,30,1,0,0,2,3,0,0,0,0,125,0,8,175,gh GHA,FW,fr Ligue 1,35-069,1989,10.0,8,0.80,6,0,0,1,1,0,0,0.00,175,gh GHA,FW,fr Ligue 1,35-069,1989,10.0,10,7,2,4,4,10,60.0,4,7,2,5,2,12,12,0,175,gh GHA,FW,fr Ligue 1,35-069,1989,10.0,254,12,33,140,87,23,254,11,3,27.3,7,63.6,110,420,113,3,2,2,20,23,156,22,224,gh GHA,FW,fr Ligue 1,35-069,1989,16,900,56,43.5,10.0,9,82,5,7,23,0,0.69,6,21,-15,-1.50,-0.50,9.1,20.7,-11.5,-1.15,175,gh GHA,FW,fr Ligue 1,35-069,1989,10.0,2,0,0,8,22,3,2,2,7,0,0,0,16,21,42,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,33.0,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.00,2.17,176,gh GHA,"FW,MF",eng Premier League,33-166,1991,0.2,0,1,0,0.0,4.29,0.00,0.00,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5,176,gh GHA,"FW,MF",eng Premier League,33-166,1991,0.2,8,10,80.0,167,4,0,0.0,0.0,0.0,1,0,0,0,0,176,gh GHA,"FW,MF",eng Premier League,33-166,1991,0.2,10,8,2,0,0,1,1,0,1,1,0,0,8,0,0,176,gh GHA,"FW,MF",eng Premier League,33-166,1991,0.2,1,4.29,1,0,0,0,0,0,0,0.00,176,gh GHA,"FW,MF",eng Premier League,33-166,1991,0.2,1,0,0,0,1,0,,0,0,0,0,0,1,0,0,176,gh GHA,"FW,MF",eng Premier League,33-166,1991,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1,225,gh GHA,"FW,MF",eng Premier League,33-166,1991,1,21,21,0.9,0.2,0,,0,1,21,0,0.00,0,1,-1,-4.29,-4.29,0.7,1.0,-0.2,-0.99,176,gh GHA,"FW,MF",eng Premier League,33-166,1991,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
